,block_num,block_len,block_gas_price,fb_min_price,fb_min_buddleIndex,fb_lastBuddle_price,fb_lastBuddle_position,fb_lastBuddle_quantile,buddle_num,fbtx_num,nfb_max_price,nfb_max_txhash,nfb_max_blockIndex,exist_high_priority,high_priority_trx
1154,13400249,166,1395.896031391,1203.4693374328021,1,1203.4693374328021,0,0%,2,6,567.22791857,0xb6ce76a6eceac1b097fbce8006c0bbdf2ccb15478172af4c55efcb836b62d9cb,15,0,
1155,13400250,62,8.396643484,2.5,1,2.5,35,58.3333%,2,2,170.23945502,0x1b3e50d181017bbc25ca37b0c5f5fc70bb74ab4b58bd1c5c4784d3c9ab14b63e,2,1,['0xdbd23d0026041ec5a28ed3a3fa6cd41e20fce49b8faab4118a8ed9accaa2caba']
1156,13400254,84,125.531417967,125.531417967,0,125.531417967,4,4.8193%,1,1,150.927404119,0x7b44f1b016a4b3df03fac14b3518eccdc8f56bd41ffe172778929cb7355706d2,1,1,['0xbb8d73bc978ae0cd7215198bcf3990f17a60fb22b1ca1a350df8292b22c93445']
1157,13400256,102,58.466636229,58.466636229,0,58.466636229,32,31.6832%,1,1,219.466636229,0xf6eb35c6f2aecb6df9a0b42d1eb698a3cb71a68d16b40194b96a960067a8f4a4,1,1,['0x863939eab98e925bc50d3b432fbcab0059eacf4633a8719cd118997845116ba4']
1158,13400260,53,39.34425327,39.34425327,0,39.34425327,17,32.6923%,1,1,264.34425327,0x85867be31fee12d463e741cf1398f8ec7300e9dc6014db02ae529768d825b231,1,1,['0x7d1cf3b30cec207998fcc14465b3e2006e33a32ee796d269775c0b564471b777']
1159,13400264,36,66.713293075,66.713293075,0,66.713293075,23,65.7143%,1,1,362.362036012,0x0c08bbc8f20a0d0b8a4eb47a27391dedad01f971981a535db4b4526082bea861,1,1,['0xd9f981cfea641a85aa1bf362af1a028a5755d43681cfd8fb49dffe8f172268eb']
1160,13400266,138,349.869329519,349.869329519805,0,349.869329519805,1,0.7407%,1,3,374.65574673,0x058b65a166f34e695ee0e9168273a005dd1b3726db865ce78b0446dc9993f6b8,9,1,"['0x3700a826638f4aeeff06a36f038b85fd463877ee600ebc70e5123d531e6e89f4', '0x7e13b9942bf32569f5b3f340599fcc6cc1d2a4d5f78e3ea5caa52db5cecacc84', '0xd716beacd4c2a91fcdc19132e924c187ab811fa2e47678fa8bf785b1b17d468e']"
1161,13400267,98,108.638519748,2.5,2,2.5,45,47.8723%,3,4,289.098740431,0x0be1783e575a6486ef304a46a0541148fe4a8db4f8fc8d52ffdb0e2bf3e12690,4,1,['0x0d10f9ef917a5acaa495079dcd5c52098ecc7e5f2fb8ad3f9e1335f0b9cfbd64']
1162,13400269,133,5.0,5.0,0,5.0,41,31.0606%,1,1,466.223178169,0x274d0c6ff325c148811910ad1761020e71f6007970fea4e3a5121e531d5407cb,10,1,['0x5058934fa8b6961fc7f38702060802343597c1e778b5ae4420cfab40fdd555ee']
1163,13400275,50,122.787437878,122.78743787822836,0,122.78743787822836,6,12.5000%,1,2,222.24698722,0xe83fe473a816ac30588f2bf18a5e5b05a4d6d673f2a9976e43a21e9b15753543,2,1,"['0x3d86bdb9520417633fbb53f5502de0d8371f8e4b1b7f8ba49d3588788a74ac7d', '0xbb85d9b916293171b03ae47fbc910b9824944fc5d8d7af1ba18ecf8eae20ce95']"
